flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
544131.94,20.670437,0,0.0013643152,659.3603508038659,250.29905856963148,1178,528486.56,19.912231,2264.4565,1.2313278,544131.94,20.670437,0,,,,,659.3603508038659,3.50129e-05,250.29905856963148,5.281451e-05,0.009234538,0.037578832
544163.5,20.670015,0,0.0013649052,659.3600449550185,250.29871492361727,1179,528515.25,19.912725,2270.088,1.2320263,544163.5,20.670015,0,,,,,659.3600449550185,3.5012104e-05,250.29871492361727,5.281532e-05,0.008911999,0.037139848
544186.25,20.665438,8192,0.0013654951,659.3603957332888,250.29887990514456,1180,528502.94,19.91276,2269.1152,1.2337333,544186.25,20.665438,8192,,,,,659.3603957332888,3.501211e-05,250.29887990514456,5.2820888e-05,0.009212696,0.037424076
544165.6,20.684252,0,0.001366085,659.3598160200712,250.29887238741077,1181,528546.8,19.913145,2266.992,1.232886,544165.6,20.684252,0,,,,,659.3598160200712,3.501025e-05,250.29887238741077,5.2809246e-05,0.008760458,0.037545923
544175.94,20.69107,0,0.0013666749,659.359721083092,250.2987183971452,1182,528567.4,19.913427,2265.1978,1.2332839,544175.94,20.69107,0,,,,,659.359721083092,3.5007623e-05,250.2987183971452,5.2805426e-05,0.008651563,0.03728945
544140.7,20.680086,0,0.0013672647,659.3599663542461,250.29834895294562,1183,528470.9,19.91205,2267.181,1.2324752,544140.7,20.680086,0,,,,,659.3599663542461,3.501757e-05,250.29834895294562,5.2823798e-05,0.00872348,0.036861114
544090.56,20.688335,0,0.0013678543,659.3596553242687,250.29922381256958,1184,528483.1,19.912176,2268.836,1.2329323,544090.56,20.688335,0,,,,,659.3596553242687,3.5012512e-05,250.29922381256958,5.281587e-05,0.008552369,0.037736256
544186.25,20.6784,0,0.001368444,659.3597865892588,250.29848365676108,1185,528529.56,19.912792,2266.2407,1.2317375,544186.25,20.6784,0,,,,,659.3597865892588,3.5011177e-05,250.29848365676108,5.2814787e-05,0.008639273,0.036938746
544181.06,20.675562,0,0.0013690336,659.3597584305732,250.2980235365694,1186,528564.0,19.913317,2262.5496,1.233022,544181.06,20.675562,0,,,,,659.3597584305732,3.5007473e-05,250.2980235365694,5.280506e-05,0.008728026,0.036766853
544135.9,20.687492,0,0.001369623,659.359782821036,250.29816645266743,1187,528478.2,19.911865,2266.1472,1.2293273,544135.9,20.687492,0,,,,,659.359782821036,3.501453e-05,250.29816645266743,5.281978e-05,0.008690536,0.03680605
544097.06,20.695862,0,0.0013702125,659.3599012809809,250.29876800207109,1188,528453.56,19.911745,2263.4768,1.2325503,544097.06,20.695862,0,,,,,659.3599012809809,3.5014706e-05,250.29876800207109,5.28207e-05,0.0087750275,0.037280686
544003.8,20.690216,0,0.0013708018,659.3596117632899,250.2985430662946,1189,528386.4,19.910717,2267.0996,1.2325491,544003.8,20.690216,0,,,,,659.3596117632899,3.5018333e-05,250.2985430662946,5.2822186e-05,0.00851513,0.037156336
544038.5,20.685785,0,0.0013713911,659.3595550191136,250.29865890092847,1190,528395.25,19.91077,2266.693,1.2319275,544038.5,20.685785,0,,,,,659.3595550191136,3.501818e-05,250.29865890092847,5.282538e-05,0.008475623,0.037219122
